exam_id,item_id,order
5,4,0
5,6,0
5,7,0
5,8,0
5,9,0
5,10,0
5,11,0
5,12,0
5,13,0
5,14,0
5,15,0
5,16,0
5,17,0
5,18,0
5,19,0
5,20,0
5,21,0
5,22,0
5,23,0
5,24,0
5,25,0
5,26,0
5,27,0
5,28,0
5,29,0
5,30,0
5,31,0
5,32,0
5,33,0
5,34,0
5,35,0
5,36,0
5,37,0
5,38,0
5,39,0
5,40,0
5,41,0
5,42,0
5,43,0
5,44,0
5,45,0
5,46,0
5,47,0
5,48,0
5,49,0
5,50,0
5,51,0
5,53,0
5,54,0
5,55,0
5,56,0
5,57,0
5,58,0
5,59,0
5,60,0
5,61,0
5,62,0
5,63,0
5,64,0
5,65,0
5,66,0
5,67,0
5,68,0
5,69,0
5,70,0
5,71,0
5,72,0
5,73,0
5,74,0
5,75,0
5,76,0
5,77,0
5,78,0
5,79,0
5,80,0
5,81,0
5,82,0
5,83,0
5,84,0
5,85,0
5,86,0
5,87,0
5,88,0
5,89,0
6,90,0
6,91,0
6,92,0
6,93,0
6,94,0
6,96,0
6,97,0
6,98,0
6,99,0
6,100,0
6,101,0
6,102,0
6,103,0
6,105,0
6,106,0
6,107,0
6,108,0
6,109,0
6,110,0
6,111,0
6,112,0
6,113,0
6,114,0
6,115,0
7,116,0
7,86,0
7,84,0
8,119,0
8,120,0
8,121,0
8,122,0
8,124,0
8,125,0
8,126,0
8,127,0
8,128,0
8,129,0
8,130,0
8,131,0
8,132,0
8,133,0
8,134,0
8,137,0
8,138,0
8,139,0
8,140,0
8,141,0
8,142,0
8,143,0
8,144,0
8,145,0
8,146,0
8,147,0
8,148,0
8,149,0
8,150,0
8,151,0
8,152,0
8,154,0
8,155,0
8,156,0
8,157,0
8,158,0
8,159,0
8,161,0
8,163,0
8,164,0
8,165,0
8,166,0
8,167,0
8,168,0
8,169,0
8,170,0
8,171,0
8,173,0
8,174,0
8,176,0
8,177,0
8,178,0
8,179,0
8,180,0
8,181,0
8,182,0
8,183,0
8,188,0
9,191,0
9,192,0
9,193,0
9,194,0
9,196,0
9,197,0
9,199,0
9,200,0
9,201,0
9,203,0
9,204,0
8,207,0
8,208,0
8,209,0
9,215,0
9,216,0
9,217,0
9,218,0
9,219,0
11,219,0
14,228,0
14,225,0
14,226,0
14,227,0
14,229,0
14,230,0
14,231,0
14,232,0
14,233,0
13,234,0
13,235,0
13,236,0
13,237,0
14,238,0
14,239,0
14,240,0
14,241,0
14,242,0
14,243,0
9,244,0
9,245,0
9,246,0
9,247,0
9,248,0
13,64,0
13,62,0
13,56,0
13,55,0
13,51,0
13,48,0
13,46,0
13,39,0
13,38,0
13,42,0
13,34,0
13,18,0
13,13,0
13,8,0
13,10,0
13,17,0
13,14,0
13,4,0
13,28,0
13,19,0
13,32,0
13,22,0
13,21,0
13,30,0
13,35,0
13,44,0
13,85,0
13,86,0
13,88,0
13,89,0
13,33,0
13,29,0
9,249,0
9,250,0
9,251,0
15,348,0
15,349,0
15,350,0
15,351,0
15,352,0
15,353,0
15,354,0
15,355,0
15,356,0
15,357,0
15,358,0
15,359,0
15,360,0
15,361,0
15,362,0
15,363,0
15,364,0
15,365,0
15,366,0
15,367,0
15,368,0
15,369,0
15,370,0
15,371,0
15,372,0
15,373,0
16,202,0
16,200,0
16,195,0
16,217,0
16,206,0
16,106,0
16,102,0
16,105,0
16,116,0
16,92,0
12,119,0
12,122,0
12,133,0
12,159,0
12,165,0
12,4,0
12,6,0
12,13,0
12,10,0
12,15,0
12,16,0
12,25,0
12,24,0
12,30,0
12,49,0
12,53,0
12,59,0
12,68,0
12,168,0
12,166,0
12,170,0
12,174,0
12,183,0
12,280,0
12,164,0
12,163,0
12,83,0
12,81,0
12,169,0
12,252,0
12,256,0
12,258,0
12,282,0
12,207,0
12,208,0
17,374,0
18,201,0
6,199,0
18,196,0
19,183,0
19,181,0
19,170,0
19,182,0
18,115,0
18,106,0
19,84,0
19,73,0
19,83,0
19,69,0
19,16,0
19,21,0
17,376,0
17,377,0
17,378,0
17,380,0
17,381,0
17,382,0
17,383,0
17,384,0
17,385,0
17,386,0
17,387,0
17,388,0
17,389,0
17,391,0
17,392,0
17,393,0
17,394,0
17,395,0
17,396,0
17,397,0
17,398,0
17,399,0
17,400,0
15,401,0
15,402,0
15,403,0
15,404,0
15,406,0
15,408,0
15,409,0
17,390,0
15,410,0
15,411,0
15,412,0
15,413,0
15,414,0
15,415,0
15,418,0
15,419,0
15,420,0
15,421,0
15,422,0
15,423,0
15,424,0
15,425,0
15,426,0
15,427,0
15,429,0
15,430,0
15,431,0
20,412,0
20,411,0
20,408,0
20,410,0
20,373,0
20,371,0
20,364,0
20,362,0
20,363,0
20,359,0
20,358,0
20,350,0
20,347,0
20,344,0
20,342,0
20,337,0
20,338,0
20,335,0
20,328,0
20,276,0
20,212,0
20,211,0
20,207,0
20,214,0
20,183,0
20,181,0
20,182,0
20,176,0
20,175,0
20,174,0
20,169,0
20,165,0
20,167,0
20,164,0
20,159,0
20,156,0
20,150,0
20,420,0
20,426,0
20,365,0
20,325,0
20,128,0
20,129,0
20,121,0
20,119,0
20,414,0
20,427,0
20,424,0
20,349,0
21,374,0
21,378,0
21,385,0
21,400,0
21,399,0
21,396,0
21,388,0
21,386,0
21,391,0
21,395,0
21,383,0
21,382,0
21,203,0
21,200,0
21,199,0
21,197,0
21,250,0
21,191,0
21,194,0
21,193,0
21,216,0
21,246,0
21,245,0
21,392,0
21,244,0
22,434,0
22,435,0
22,436,0
22,437,0
22,438,0
22,439,0
22,440,0
22,441,0
22,442,0
22,443,0
23,444,0
23,445,0
23,446,0
23,447,0
23,448,0
23,449,0
23,450,0
23,451,0
23,452,0
23,453,0
23,454,0
23,455,0
23,456,0
23,457,0
23,458,0
23,459,0
23,460,0
23,461,0
23,462,0
23,463,0
23,464,0
23,465,0
23,466,0
23,467,0
23,468,0
23,469,0
23,470,0
23,471,0
23,472,0
23,473,0
23,474,0
23,475,0
23,476,0
23,477,0
23,478,0
23,479,0
23,480,0
23,481,0
24,96,0
24,97,0
24,98,0
24,101,0
24,116,0
23,482,0
23,483,0
23,484,0
23,485,0
23,486,0
23,487,0
23,488,0
23,489,0
23,490,0
23,491,0
23,492,0
23,493,0
23,494,0
23,495,0
23,496,0
23,497,0
23,498,0
23,499,0
23,500,0
23,501,0
23,502,0
23,503,0
23,504,0
23,505,0
23,506,0
23,507,0
23,508,0
23,509,0
23,510,0
23,511,0
22,512,0
22,513,0
22,514,0
22,515,0
22,516,0
22,517,0
22,518,0
22,519,0
22,520,0
22,521,0
22,522,0
22,523,0
22,524,0
22,525,0
22,526,0
23,527,0
23,528,0
23,529,0
26,530,0
26,531,0
26,532,0
26,533,0
26,534,0
26,535,0
26,536,0
26,537,0
26,538,0
26,539,0
26,540,0
26,541,0
26,542,0
26,543,0
26,544,0
26,545,0
26,546,0
26,547,0
26,548,0
26,549,0
26,550,0
26,551,0
26,552,0
26,553,0
26,554,0
26,555,0
26,556,0
26,557,0
26,558,0
26,559,0
26,560,0
26,561,0
26,562,0
26,563,0
26,564,0
26,565,0
26,566,0
26,567,0
26,568,0
26,569,0
26,570,0
26,571,0
26,572,0
26,573,0
26,574,0
26,575,0
26,576,0
26,577,0
26,578,0
26,579,0
26,580,0
26,581,0
26,582,0
26,583,0
26,584,0
26,585,0
26,586,0
26,587,0
26,588,0
26,589,0
26,590,0
26,591,0
26,592,0
26,593,0
26,594,0
26,595,0
26,596,0
26,597,0
27,598,0
27,599,0
27,600,0
27,601,0
27,602,0
27,603,0
27,604,0
27,605,0
27,606,0
27,607,0
27,608,0
27,609,0
27,610,0
27,611,0
27,612,0
27,613,0
27,614,0
27,615,0
27,616,0
27,617,0
27,618,0
27,619,0
27,620,0
27,621,0
27,622,0
29,623,0
29,624,0
29,625,0
29,626,0
29,627,0
29,628,0
29,629,0
29,630,0
29,631,0
29,633,0
29,634,0
29,635,0
29,636,0
29,637,0
29,638,0
29,639,0
29,640,0
29,641,0
29,642,0
29,643,0
29,644,0
29,645,0
29,646,0
29,647,0
29,648,0
29,649,0
29,650,0
29,651,0
29,652,0
29,653,0
29,654,0
29,655,0
29,656,0
29,657,0
29,658,0
29,659,0
29,660,0
29,661,0
29,662,0
29,663,0
29,665,0
29,666,0
29,667,0
29,668,0
29,669,0
29,670,0
29,671,0
29,672,0
29,673,0
29,674,0
29,675,0
29,676,0
29,677,0
29,678,0
29,679,0
29,680,0
29,681,0
29,682,0
29,683,0
29,684,0
29,685,0
29,686,0
29,687,0
29,688,0
29,689,0
29,690,0
29,691,0
29,692,0
29,693,0
29,695,0
29,697,0
29,699,0
29,700,0
29,701,0
29,702,0
29,173,0
29,704,0
29,705,0
29,138,0
29,155,0
29,157,0
29,706,0
28,707,0
28,708,0
28,709,0
28,710,0
28,711,0
28,712,0
28,713,0
28,714,0
28,715,0
28,716,0
28,717,0
28,718,0
28,719,0
28,720,0
28,721,0
28,722,0
28,723,0
28,724,0
28,725,0
28,726,0
28,727,0
28,728,0
28,729,0
28,730,0
28,731,0
30,732,0
30,733,0
30,734,0
30,735,0
30,736,0
30,737,0
30,738,0
30,739,0
30,740,0
30,741,0
30,742,0
30,743,0
30,744,0
30,745,0
30,746,0
30,747,0
30,748,0
30,749,0
30,750,0
30,751,0
30,752,0
30,753,0
30,754,0
30,755,0
30,756,0
30,757,0
30,758,0
30,759,0
30,760,0
30,761,0
30,762,0
30,763,0
30,764,0
30,765,0
30,766,0
30,767,0
30,768,0
30,769,0
30,770,0
30,771,0
30,772,0
30,773,0
30,774,0
30,775,0
30,776,0
30,777,0
30,778,0
30,779,0
30,780,0
30,781,0
30,782,0
30,783,0
30,784,0
30,785,0
30,786,0
30,787,0
30,788,0
30,789,0
30,790,0
30,791,0
30,792,0
30,793,0
30,794,0
30,795,0
30,796,0
30,797,0
30,798,0
30,799,0
30,800,0
30,801,0
30,802,0
30,803,0
30,804,0
30,805,0
30,806,0
30,807,0
30,808,0
30,809,0
30,810,0
30,811,0
30,812,0
30,813,0
30,814,0
30,815,0
30,816,0
30,817,0
30,818,0
30,819,0
30,820,0
30,821,0
30,822,0
30,823,0
